Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2017-04-14 00:04:00,43.1,39.8,29.97,South,179,3.0,4.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-14 07:04:00,
2017-04-14 00:10:00,43.0,39.7,29.97,SSE,151,3.0,3.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-14 07:10:00,
2017-04-14 00:16:00,42.9,39.6,29.98,SSW,198,3.0,4.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-14 07:16:00,
2017-04-14 00:21:00,42.9,39.6,29.98,SSE,160,3.0,3.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-14 07:21:00,
2017-04-14 00:27:00,42.9,39.6,29.98,SE,134,3.0,4.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-14 07:27:00,
2017-04-14 00:33:00,42.8,39.5,29.98,SSE,160,2.0,4.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-14 07:33:00,
2017-04-14 00:39:00,42.7,39.7,29.99,SE,124,2.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-14 07:39:00,
2017-04-14 00:44:00,42.5,39.5,29.99,SW,214,2.0,2.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-14 07:44:00,
2017-04-14 00:50:00,42.4,39.4,29.99,SE,131,1.0,1.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-14 07:50:00,
2017-04-14 00:56:00,42.4,39.4,29.99,South,170,1.0,3.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-14 07:56:00,
2017-04-14 01:02:00,42.4,39.4,29.99,South,187,2.0,3.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-14 08:02:00,
2017-04-14 01:07:00,42.5,39.5,29.99,South,181,3.0,7.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-14 08:07:00,
2017-04-14 01:13:00,42.5,39.5,29.99,South,188,2.0,5.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-14 08:13:00,
2017-04-14 01:19:00,42.5,39.2,30.00,South,179,2.0,5.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-14 08:19:00,
2017-04-14 01:25:00,42.5,39.2,30.00,SW,222,2.0,5.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-14 08:25:00,
2017-04-14 01:31:00,42.5,39.2,30.00,SW,229,2.0,5.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-14 08:31:00,
