"","id","neighborhood","city","type","Elevation","Latitude","Longitude"
"1","IWAKIRKL2","Juanita","Kirkland","AcuRite Pro Weather Center","65 ft",47.7083931,-122.21707153
"2","IWASHING2","Pickering Passage","Grapeview","Davis VantagePro","49 ft",47.29463959,-122.88778687
"3","KTSWAOCE2","One mile south of Ocean Park","Ocean Park","Davis Vantage Vue (Wireless)","35 ft",46.47790527,-124.05052185
"4","KVWAPORT1","Crane Ave E","Port Orchard","Oregon Scientific WMR968","75 ft",47.58696747,-122.54969788
"5","KWAABERD10","Aberdeen below Hospital","Aberdeen","AcuRite Pro Weather Center","30 ft",46.97741318,-123.84368896
"6","KWAABERD11","Central Park - Crash's Yard","Aberdeen","Davis Vantage Pro2 (Wireless)","115 ft",46.96371841,-123.69368744
"7","KWAABERD13","Sumner &amp; Myrtle, Aberdeen","Aberdeen","RainWise MK-III-LR","10 ft",46.97640991,-123.85051727
"8","KWAABERD14","Think of Me Hill","Aberdeen","Davis Vantage Pro2 Plus (Wireless)","72 ft",46.9847641,-123.80307007
"9","KWAABERD15","Central Park","Aberdeen","AcuRite Pro Weather Center","20 ft",46.96017456,-123.68742371
"10","KWAABERD16","Pacific Ave","Aberdeen","AcuRite Pro Weather Center","14 ft",46.97358322,-123.8496933
"11","KWAABERD7","Aberdeen-Division St","Aberdeen","","22 ft",46.97719955,-123.83170319
"12","KWAADAMS2","Seattle","Adams","Netatmo","-10000 ft",47.66419983,-122.38965607
"13","KWAALLYN2","Grapeview","Allyn-Grapeview","Ambient Weather WS-1001-WiFi (Wireless)","154 ft",47.32684708,-122.84494781
"14","KWAALLYN3","Twanoh","Allyn","Ambient Weather WS-1001-WiFi (Wireless)","0 ft",47.37590027,-122.84190369
"15","KWAALLYN4","Allyn View Estates","Allyn","AcuRite Pro Weather Center","50 ft",47.38031387,-122.83164215
"16","KWAAMBOY10","Grantham Amboy","Amboy","AcuRite Pro Weather Center","774 ft",45.90657425,-122.51670837
"17","KWAAMBOY11","Munch 7","Amboy","Davis Vantage Vue (Wireless)","570 ft",45.92112732,-122.53439331
"18","KWAAMBOY5",".3 miles NW of Saddle Dam","Amboy","Davis Vantage Pro2 (Wireless)","440 ft",45.97174835,-122.3645401
"19","KWAAMESL2","Ames Lake vista","Ames Lake","Davis Vantage Vue (Wireless)","410 ft",47.63915253,-121.96671295
"20","KWAANACO1","Ship Harbor","Anacortes","Davis Vantage Vue","220 ft",48.50151062,-122.66353607
"21","KWAANACO10","SSE Guemes Island","Anacortes","WS2308","90 ft",48.53305435,-122.58472443
"22","KWAANACO16","Iron Mountain","Anacortes","Davis Vantage Pro2","350 ft",48.46775436,-122.6570282
"23","KWAANACO17","","Anacortes","Texas Weather Instruments","646 ft",48.47835922,-122.65331268
"24","KWAANACO18","Nootka Lane","Anacortes","Davis Instruments Vantage Pro2","273 ft",48.55207062,-122.59798431
"25","KWAANACO23","Heather Weather","Anacortes","Ambient Weather 2080","52 ft",48.49599075,-122.67500305
"26","KWAANACO25","Doon Way on Burrows Bay - Anacortes, Wa","Doon Way - Anacortes","Davis Vantage Pro2","66 ft",48.48905182,-122.67221069
"27","KWAANACO28","Skyline","Anacortes","AcuRite Pro Weather Center","148 ft",48.49015045,-122.66934204
"28","KWAANACO29","Anacortes-Bartholomew Rd (US)","Anacortes","","72 ft",48.4654007,-122.55999756
"29","KWAANACO30","Anacortes-202 Ave","Anacortes","","3 ft",48.52059174,-122.6142807
"30","KWAANACO34","Cedar Springs","Anacortes","AcuRite Pro Weather Center","246 ft",48.49055099,-122.62601471
"31","KWAANACO35","Eddie's house","Anacortes","Ambient Weather WS-1400-IP (Wireless)","161 ft",48.49612808,-122.62000275
"32","KWAANACO40","Cedar Glen Way","Anacortes","Netatmo","242 ft",48.49481583,-122.65812683
"33","KWAANACO44","Simlk Bay","Anacortes","AcuRite Pro Weather Center","148 ft",48.42780304,-122.60582733
"34","KWAANACO45","Lake Erie","Anacortes","other","174 ft",48.45333099,-122.64562988
"35","KWAANACO46","Cap Sante Marina","Anacortes","Davis Vantage Vue (Wireless)","7 ft",48.51195526,-122.60958862
"36","KWAANACO48","Castilleja Bluff, Anacortes WA","Anacortes","Ambient Weather WS-1400-IP (Wireless)","410 ft",48.48944473,-122.65858459
"37","KWAANACO49","Guemes Channel","Anacortes","AcuRite Pro Weather Center","56 ft",48.51162338,-122.64245605
"38","KWAANACO5","above Lovric's","Anacortes","Davis Vantage Pro2 (Wireless)","70 ft",48.5110817,-122.64134979
"39","KWAANACO50","SMOA-17","Anacortes","Ambient Weather WS-1001-WiFi (Wireless)",NA,NA,NA
"40","KWAANACO51","B - Clearridge Ferry Views","Anacortes","Ambient Weather WS-1001-WiFi (Wireless)","226 ft",48.50017166,-122.66723633
"41","KWAANACO52","San Juan Hill","Anacortes","Davis Vantage Pro2 (Cabled)",NA,NA,NA
"42","KWAANACO53","Near Anacortes Airport","Anacortes","AcuRite Pro Weather Center","223 ft",48.50387573,-122.65706635
"43","KWAANACO54","Rockridge","Anacortes","Davis Vantage Pro2 Plus (Wireless)","433 ft",48.49700546,-122.65273285
"44","KWAANACO59","Casa Madera","Anacortes","Davis Vantage Pro2 (Wireless)","130 ft",48.45304108,-122.64518738
"45","KWAANACO63","Dewey Beach","Anacortes","AcuRite Pro Weather Center","147 ft",48.42331314,-122.61516571
"46","KWAANACO8","South Fidalgo Island","Anacortes","Davis Vantage Pro2","42 ft",48.42662811,-122.58982086
"47","KWAANATO2","Montgomery Ridge Road","Anatone","LaCrosse Weather Pro Center 2800 Series","3300 ft",46.11969757,-117.00843811
"48","KWAANATO4","Hewitt's Campwater/Grande Ronde River","Anatone","AcuRite Pro Weather Center","1253 ft",46.0419693,-117.25441742
"49","KWAANDER3","104th Street","Anderson Island","Netatmo","282 ft",47.16228485,-122.68360138
"50","KWAANDER5","11016 country club dr","Anderson Island","AcuRite Pro Weather Center","292 ft",47.15673447,-122.68723297
"51","KWAANDRO2","carlson ws","Andron","LaCrosse","-10000 ft",48.25233459,-121.60916138
"52","KWAARIEL2","West Yale Valley","Ariel","Vantage Vue","455 ft",45.99712372,-122.39797211
"53","KWAARIEL4","Wapiti Meadows","Ariel","Ambient Weather WS-1001-WiFi (Wireless)","400 ft",45.97161865,-122.37580109
"54","KWAARIEL5","Yale1","Ariel","AcuRite Pro Weather Center","432 ft",45.99648285,-122.3999176
"55","KWAARLIN17","Farmstead Wx, just west of Smokey Point","Arlington","Ambient Weather WS-1400-IP (Wireless)","106 ft",48.16884613,-122.21983337
"56","KWAARLIN18","Cicero","Arlington","","177 ft",48.27785492,-122.00041199
"57","KWAARLIN20","Boulder Creek","Arlington","LaCrosse Weather Pro Center 2800 Series","328 ft",48.28007507,-121.78883362
"58","KWAARLIN23","Lake Ki","Lake Ki","Vantage Pro2","505 ft",48.14999771,-122.26101685
"59","KWAARLIN24","Weather @ Munday's","Arlington","LaCrosse Weather Pro Center 2800 Series","135 ft",48.22478485,-122.20703125
"60","KWAARLIN26","83rd Place Northeast","Arlington","Netatmo","331 ft",48.07097626,-122.12036896
"61","KWAARLIN28","Sky Blue Neighborhood","Arlington","AcuRite Pro Weather Center","187 ft",48.16777039,-122.167099
"62","KWAARLIN31","Wesley Street","Arlington","Netatmo","170 ft",48.18709183,-122.1169281
"63","KWAARLIN33","Crown Ridge","Arlington","AcuRite Pro Weather Center","404 ft",48.17082596,-122.11784363
"64","KWAARLIN37","Magnolia Meadows","Arlington","AcuRite Pro Weather Center","397 ft",48.1572113,-122.12076569
