,airbag,alcohol_test_given,contributing_factor_1,contributing_factor_2,contributing_factor_3,current_weather,cyclist_injury,cyclist_present,date,day_of_week,driver_injury,driver_restraint_type,hour,lat,lighting_conditions,lon,month,passenger_injury,passenger_restraint_type,pedestrian_injury,pedestrian_present,posted_speed_limit,roadway_characterization,roadway_surface_condition,roadway_surface_type,sobriety_type,time_of_day,vehicle_action,wx_DewpointF_last_1hr_avg,wx_DewpointF_last_1hr_avg_decrease,wx_DewpointF_last_1hr_avg_increase,wx_DewpointF_last_1hr_change,wx_DewpointF_latest,wx_Humidity_last_1hr_avg,wx_Humidity_last_1hr_avg_decrease,wx_Humidity_last_1hr_avg_increase,wx_Humidity_last_1hr_change,wx_Humidity_latest,wx_PrecipRate_inhr_last_1hr,wx_PrecipRate_inhr_latest_max,wx_PressureIn_last_1hr_avg,wx_PressureIn_last_1hr_change,wx_PressureIn_latest,wx_TemperatureF_last_1hr_avg,wx_TemperatureF_last_1hr_avg_decrease,wx_TemperatureF_last_1hr_avg_increase,wx_TemperatureF_last_1hr_change,wx_TemperatureF_latest,wx_WindSpeedGustMPH_last_1hr_max,wx_WindSpeedGustMPH_latest,wx_WindSpeedMPH_last_1hr_avg,wx_WindSpeedMPH_latest,wx_mean_station_dist_mi,wx_station_count,wx_unique_event_id
0,Not Deployed,,Did Not Grant RW to Vehicle,,,Raining,,,2016-10-13,3.0,No Injury,Unknown,12.0,47.69125049153933,Daylight,-122.31222212080931,10.0,,,,,35.0,Straight & Level,Wet,Concrete,Unknown,12:22:00,Making Left Turn,52.65714285714287,0.06382978723404258,0.010638297872340425,0.34468085106382984,52.820408163265306,92.2645833333333,0.06595744680851066,0.012765957446808512,0.2553191489361702,92.4375,0.03999999999999915,0.07,29.58083333333334,-0.005652173913043126,29.579166666666676,55.108163265306125,0.05744680851063832,0.01276595744680851,0.28936170212765977,55.234693877551024,7.4,7.4,0.9235294117647058,0.8970588235294117,1.9227867542837596,79.0,1.0
1,Not Deployed,,None,,,Raining,,,2016-10-13,3.0,Possible Injury,Unknown,12.0,47.69125049153933,Daylight,-122.31222212080931,10.0,,,,,35.0,Straight & Level,Wet,Concrete,Unknown,12:22:00,Going Straight Ahead,52.65714285714287,0.06382978723404258,0.010638297872340425,0.34468085106382984,52.820408163265306,92.2645833333333,0.06595744680851066,0.012765957446808512,0.2553191489361702,92.4375,0.03999999999999915,0.07,29.58083333333334,-0.005652173913043126,29.579166666666676,55.108163265306125,0.05744680851063832,0.01276595744680851,0.28936170212765977,55.234693877551024,7.4,7.4,0.9235294117647058,0.8970588235294117,1.9227867542837596,79.0,1.0
2,Not Airbag Equipped,,Other,,,Raining,,,2016-10-13,3.0,No Injury,Lap & Shoulder Used,13.0,47.69238887747721,Daylight,-122.34435451172578,10.0,No Injury,Lap Belt Used,,,35.0,Straight & Level,Wet,Blacktop,Had NOT Been Drinking,13:00:00,Making Left Turn,52.77692307692309,0.07368421052631584,0.0,0.58974358974359,53.02127659574469,93.98431372549021,0.034210526315789476,0.023684210526315787,0.10256410256410256,94.02127659574468,0.02999999999999936,0.07,29.576153846153847,-0.01815789473684214,29.56659574468085,54.50566037735849,0.05789473684210528,0.0,0.5102564102564106,54.75208333333333,9.8,7.0,1.1365853658536584,1.1435897435897435,1.9668974673156658,89.0,2.0
3,Not Airbag Equipped,,Other,,,Raining,,,2016-10-13,3.0,No Injury,Lap & Shoulder Used,13.0,47.69238887747721,Daylight,-122.34435451172578,10.0,No Injury,Lap & Shoulder Used,,,35.0,Straight & Level,Wet,Blacktop,Had NOT Been Drinking,13:00:00,Making Left Turn,52.77692307692309,0.07368421052631584,0.0,0.58974358974359,53.02127659574469,93.98431372549021,0.034210526315789476,0.023684210526315787,0.10256410256410256,94.02127659574468,0.02999999999999936,0.07,29.576153846153847,-0.01815789473684214,29.56659574468085,54.50566037735849,0.05789473684210528,0.0,0.5102564102564106,54.75208333333333,9.8,7.0,1.1365853658536584,1.1435897435897435,1.9668974673156658,89.0,2.0
4,Not Airbag Equipped,,Other,,,Raining,,,2016-10-13,3.0,No Injury,Lap & Shoulder Used,13.0,47.69238887747721,Daylight,-122.34435451172578,10.0,No Injury,Lap & Shoulder Used,,,35.0,Straight & Level,Wet,Blacktop,Had NOT Been Drinking,13:00:00,Making Left Turn,52.77692307692309,0.07368421052631584,0.0,0.58974358974359,53.02127659574469,93.98431372549021,0.034210526315789476,0.023684210526315787,0.10256410256410256,94.02127659574468,0.02999999999999936,0.07,29.576153846153847,-0.01815789473684214,29.56659574468085,54.50566037735849,0.05789473684210528,0.0,0.5102564102564106,54.75208333333333,9.8,7.0,1.1365853658536584,1.1435897435897435,1.9668974673156658,89.0,2.0
5,Not Deployed,,None,,,Raining,,,2016-10-13,3.0,No Injury,Unknown,13.0,47.69238887747721,Daylight,-122.34435451172578,10.0,,,,,25.0,Straight & Level,Wet,Blacktop,Had NOT Been Drinking,13:00:00,"Legally Parked, Occupied",52.77692307692309,0.07368421052631584,0.0,0.58974358974359,53.02127659574469,93.98431372549021,0.034210526315789476,0.023684210526315787,0.10256410256410256,94.02127659574468,0.02999999999999936,0.07,29.576153846153847,-0.01815789473684214,29.56659574468085,54.50566037735849,0.05789473684210528,0.0,0.5102564102564106,54.75208333333333,9.8,7.0,1.1365853658536584,1.1435897435897435,1.9668974673156658,89.0,2.0
6,Not Deployed,,Unknown Driver Distraction,,,Raining,,,2016-10-13,3.0,No Injury,Lap & Shoulder Used,16.0,47.602942952816036,Daylight,-122.32866657033956,10.0,No Injury,Lap & Shoulder Used,,,,Straight & Grade,Wet,Concrete,Had NOT Been Drinking,16:31:00,Making Right Turn,53.14814814814816,0.06190476190476191,0.0380952380952381,0.16190476190476252,53.13076923076923,94.03571428571429,0.0761904761904762,0.047619047619047616,0.23809523809523808,93.84615384615384,0.06545454545448592,0.07,29.43074074074074,-0.044090909090908716,29.408148148148157,54.834482758620695,0.03333333333333333,0.01904761904761905,0.12857142857142803,54.92692307692308,15.0,9.3,2.0650000000000004,1.288235294117647,1.6356750154397903,51.0,3.0
7,Not Deployed,,Driver Not Distracted,,,Raining,,,2016-10-13,3.0,No Injury,Lap & Shoulder Used,16.0,47.602942952816036,Daylight,-122.32866657033956,10.0,,,,,,Straight & Grade,Wet,Concrete,Had NOT Been Drinking,16:31:00,Going Straight Ahead,53.14814814814816,0.06190476190476191,0.0380952380952381,0.16190476190476252,53.13076923076923,94.03571428571429,0.0761904761904762,0.047619047619047616,0.23809523809523808,93.84615384615384,0.06545454545448592,0.07,29.43074074074074,-0.044090909090908716,29.408148148148157,54.834482758620695,0.03333333333333333,0.01904761904761905,0.12857142857142803,54.92692307692308,15.0,9.3,2.0650000000000004,1.288235294117647,1.6356750154397903,51.0,3.0
8,Front Airbag Deployed,,Exceeding Stated Speed Limit,Exceeding Reas. Safe Speed,,Raining,,,2016-10-15,5.0,No Injury,Lap & Shoulder Used,22.0,47.61574560972781,Dark-Street Lights On,-122.34564620368583,10.0,Possible Injury,Lap & Shoulder Used,,,35.0,Curve & Level,Wet,Concrete,Had NOT Been Drinking,22:14:00,Merging (Entering Traffic),49.810810810810814,0.056000000000000015,0.10400000000000002,-0.25999999999999973,49.660000000000004,89.05945945945946,0.11200000000000003,0.26,-1.24,87.93333333333334,0.047999999999998974,0.07,29.21918918918918,0.031599999999999684,29.244999999999994,53.027027027027025,0.048,0.016,0.16800000000000012,53.23,32.0,27.0,6.514285714285715,6.974999999999999,1.7554623101446094,62.0,4.0
9,,,,,,Raining,,,2016-10-15,5.0,,,22.0,47.61574560972781,Dark-Street Lights On,-122.34564620368583,10.0,,,,,,Curve & Level,Wet,,,22:14:00,,49.810810810810814,0.056000000000000015,0.10400000000000002,-0.25999999999999973,49.660000000000004,89.05945945945946,0.11200000000000003,0.26,-1.24,87.93333333333334,0.047999999999998974,0.07,29.21918918918918,0.031599999999999684,29.244999999999994,53.027027027027025,0.048,0.016,0.16800000000000012,53.23,32.0,27.0,6.514285714285715,6.974999999999999,1.7554623101446094,62.0,4.0
