,airbag,alcohol_test_given,contributing_factor_1,contributing_factor_2,contributing_factor_3,current_weather,cyclist_injury,cyclist_present,date,day_of_week,driver_injury,driver_restraint_type,hour,lat,lighting_conditions,lon,month,passenger_injury,passenger_restraint_type,pedestrian_injury,pedestrian_present,posted_speed_limit,roadway_characterization,roadway_surface_condition,roadway_surface_type,sobriety_type,time_of_day,vehicle_action,wx_DewpointF_last_1hr_avg,wx_DewpointF_last_1hr_avg_decrease,wx_DewpointF_last_1hr_avg_increase,wx_DewpointF_last_1hr_change,wx_DewpointF_latest,wx_Humidity_last_1hr_avg,wx_Humidity_last_1hr_avg_decrease,wx_Humidity_last_1hr_avg_increase,wx_Humidity_last_1hr_change,wx_Humidity_latest,wx_PrecipRate_inhr_last_1hr,wx_PrecipRate_inhr_latest_max,wx_PressureIn_last_1hr_avg,wx_PressureIn_last_1hr_change,wx_PressureIn_latest,wx_TemperatureF_last_1hr_avg,wx_TemperatureF_last_1hr_avg_decrease,wx_TemperatureF_last_1hr_avg_increase,wx_TemperatureF_last_1hr_change,wx_TemperatureF_latest,wx_WindSpeedGustMPH_last_1hr_max,wx_WindSpeedGustMPH_latest,wx_WindSpeedMPH_last_1hr_avg,wx_WindSpeedMPH_latest,wx_mean_station_dist_mi,wx_station_count,wx_unique_event_id
0,Not Deployed,,None,,,Raining,,,2016-11-27,6.0,No Injury,Lap & Shoulder Used,1.0,47.52572001349311,Dark-Street Lights On,-122.29180749885458,11.0,,,,,60.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,01:13:00,Going Straight Ahead,42.88125,0.03333333333333333,0.013333333333333334,0.12666666666666704,43.013333333333335,95.84375,0.04666666666666667,0.04,0.06666666666666667,96.0,0.010714285714287388,0.01,29.613750000000007,0.03266666666666656,29.62933333333333,44.099999999999994,0.02666666666666667,0.0,0.13999999999999962,44.193333333333335,3.0,2.0,0.3846153846153845,0.425,2.030553751231394,26.0,1.0
1,Unknown,,Other,,,Clear or Partly Cloudy,,,2016-11-28,0.0,Unknown,Unknown,16.0,47.467344568883206,Daylight,-122.22533359125352,11.0,,,,,60.0,Straight & Level,Dry,Blacktop,Unknown,16:14:00,Changing Lanes,45.35,0.04,0.08,-0.08000000000000114,45.23333333333333,81.01666666666667,0.26,0.04,1.6,81.66666666666667,0.0,0.0,29.978333333333328,0.01599999999999895,29.986666666666665,51.0,0.0,0.08,-0.5799999999999997,50.71666666666666,0.0,0.0,0.9333333333333332,0.9,2.1433571242188574,8.0,2.0
2,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-11-28,0.0,No Injury,Lap & Shoulder Used,16.0,47.467344568883206,Daylight,-122.22533359125352,11.0,,,,,60.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,16:14:00,Going Straight Ahead,45.35,0.04,0.08,-0.08000000000000114,45.23333333333333,81.01666666666667,0.26,0.04,1.6,81.66666666666667,0.0,0.0,29.978333333333328,0.01599999999999895,29.986666666666665,51.0,0.0,0.08,-0.5799999999999997,50.71666666666666,0.0,0.0,0.9333333333333332,0.9,2.1433571242188574,8.0,2.0
3,Front Airbag Deployed,,Under Influence of Alcohol,,,Raining,,,2016-11-26,5.0,No Injury,Lap & Shoulder Used,21.0,47.49450029413195,Dark-No Street Lights,-122.28247128944875,11.0,,,,,60.0,Straight & Level,Dry,Blacktop,HBD - Ability Impaired,21:48:00,Going Straight Ahead,43.90833333333333,0.0,0.014285714285714287,-0.27142857142857124,43.699999999999996,96.2,0.042857142857142864,0.028571428571428574,0.0,95.72727272727273,0.020000000000003126,0.01,29.511666666666667,0.027142857142857326,29.529999999999994,44.900000000000006,0.0,0.0,-0.25714285714285773,44.81818181818182,13.0,7.5,2.3249999999999997,1.542857142857143,1.8789026261428508,18.0,3.0
4,Not Deployed,,None,,,Raining,,,2016-11-26,5.0,No Injury,No Restraints Used,21.0,47.49450029413195,Dark-No Street Lights,-122.28247128944875,11.0,,,,,,Straight & Level,Dry,,,21:48:00,"Legally Parked, Unoccupied",43.90833333333333,0.0,0.014285714285714287,-0.27142857142857124,43.699999999999996,96.2,0.042857142857142864,0.028571428571428574,0.0,95.72727272727273,0.020000000000003126,0.01,29.511666666666667,0.027142857142857326,29.529999999999994,44.900000000000006,0.0,0.0,-0.25714285714285773,44.81818181818182,13.0,7.5,2.3249999999999997,1.542857142857143,1.8789026261428508,18.0,3.0
5,Not Deployed,,Exceeding Reas. Safe Speed,,,Raining,,,2016-11-26,5.0,No Injury,Lap & Shoulder Used,22.0,47.4692653075174,Dark-Street Lights On,-122.21787130041568,11.0,Possible Injury,Lap & Shoulder Used,,,60.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,22:43:00,Going Straight Ahead,42.61666666666667,0.06000000000000001,0.04,0.03999999999999915,42.22,93.78333333333335,0.12,0.2,-0.2,92.6,0.022222222222221748,0.01,29.541666666666668,0.029999999999999714,29.568,44.46666666666667,0.04,0.02,0.09999999999999858,44.42,7.0,,2.733333333333333,1.35,2.2963685719480282,8.0,4.0
6,Not Deployed,,None,,,Raining,,,2016-11-26,5.0,No Injury,Lap & Shoulder Used,22.0,47.4692653075174,Dark-Street Lights On,-122.21787130041568,11.0,No Injury,Lap & Shoulder Used,,,,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,22:43:00,Stopped for Traffic,42.61666666666667,0.06000000000000001,0.04,0.03999999999999915,42.22,93.78333333333335,0.12,0.2,-0.2,92.6,0.022222222222221748,0.01,29.541666666666668,0.029999999999999714,29.568,44.46666666666667,0.04,0.02,0.09999999999999858,44.42,7.0,,2.733333333333333,1.35,2.2963685719480282,8.0,4.0
7,Side Airbag Deployed,,Did Not Grant RW to Vehicle,Driver Distractions Outside Vehicle,,Overcast,,,2016-11-28,0.0,No Injury,Lap & Shoulder Used,16.0,47.797132856244936,Dusk,-122.33562725076,11.0,,,,,30.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,16:10:00,Making Left Turn,46.00833333333333,0.05,0.09999999999999999,-0.42000000000000026,45.85,92.79166666666667,0.30999999999999994,0.06,2.2,93.91666666666667,0.0,0.0,29.962500000000002,0.017999999999999617,29.969166666666663,48.09166666666667,0.0,0.12,-0.9900000000000013,47.64166666666667,2.3,2.0,0.09000000000000001,0.3,2.056663618131835,18.0,5.0
8,Front Airbag Deployed,,None,,,Overcast,,,2016-11-28,0.0,No Injury,Lap & Shoulder Used,16.0,47.797132856244936,Dusk,-122.33562725076,11.0,Possible Injury,Child Booster Seat Used,,,30.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,16:10:00,Going Straight Ahead,46.00833333333333,0.05,0.09999999999999999,-0.42000000000000026,45.85,92.79166666666667,0.30999999999999994,0.06,2.2,93.91666666666667,0.0,0.0,29.962500000000002,0.017999999999999617,29.969166666666663,48.09166666666667,0.0,0.12,-0.9900000000000013,47.64166666666667,2.3,2.0,0.09000000000000001,0.3,2.056663618131835,18.0,5.0
9,Unknown,,Other,,,Unknown,,,2016-11-20,6.0,Unknown,Unknown,13.0,47.600690338223906,Daylight,-122.32822346667612,11.0,,,,,,Unknown,Unknown,Unknown,Unknown,13:00:00,Other,47.099999999999994,0.10000000000000002,0.05333333333333333,0.18666666666666648,47.53043478260869,84.69999999999999,0.16875,0.875,-1.5625,84.25,0.02142857142857097,0.01,29.639999999999997,-0.005714285714285846,29.62636363636364,51.67058823529411,0.225,0.0,0.6812499999999995,52.274999999999984,15.0,7.4,2.0130434782608697,1.6105263157894734,1.6628203992133637,50.0,6.0
