,airbag,alcohol_test_given,contributing_factor_1,contributing_factor_2,contributing_factor_3,current_weather,cyclist_injury,cyclist_present,date,day_of_week,driver_injury,driver_restraint_type,hour,lat,lighting_conditions,lon,month,passenger_injury,passenger_restraint_type,pedestrian_injury,pedestrian_present,posted_speed_limit,roadway_characterization,roadway_surface_condition,roadway_surface_type,sobriety_type,time_of_day,vehicle_action,wx_DewpointF_last_1hr_avg,wx_DewpointF_last_1hr_avg_decrease,wx_DewpointF_last_1hr_avg_increase,wx_DewpointF_last_1hr_change,wx_DewpointF_latest,wx_Humidity_last_1hr_avg,wx_Humidity_last_1hr_avg_decrease,wx_Humidity_last_1hr_avg_increase,wx_Humidity_last_1hr_change,wx_Humidity_latest,wx_PrecipRate_inhr_last_1hr,wx_PrecipRate_inhr_latest_max,wx_PressureIn_last_1hr_avg,wx_PressureIn_last_1hr_change,wx_PressureIn_latest,wx_TemperatureF_last_1hr_avg,wx_TemperatureF_last_1hr_avg_decrease,wx_TemperatureF_last_1hr_avg_increase,wx_TemperatureF_last_1hr_change,wx_TemperatureF_latest,wx_WindSpeedGustMPH_last_1hr_max,wx_WindSpeedGustMPH_latest,wx_WindSpeedMPH_last_1hr_avg,wx_WindSpeedMPH_latest,wx_mean_station_dist_mi,wx_station_count,wx_unique_event_id
0,Not Deployed,,None,,,Raining,,,2016-12-10,5.0,No Injury,Lap & Shoulder Used,18.0,47.43842467248389,Dark-No Street Lights,-122.26880808386343,12.0,No Injury,Lap & Shoulder Used,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,18:01:00,Going Straight Ahead,39.8375,0.04,0.06000000000000001,-0.1200000000000017,39.3,94.625,0.08,0.24,-1.6,93.0,0.010909090909090677,0.02,29.852222222222224,0.005999999999999517,29.845714285714287,41.111111111111114,0.02,0.0,0.2,40.971428571428575,16.8,15.9,6.057142857142858,7.3999999999999995,2.29413524283737,14.0,1.0
1,Not Deployed,,None,,,Raining,,,2016-12-10,5.0,No Injury,Lap & Shoulder Used,18.0,47.43842467248389,Dark-No Street Lights,-122.26880808386343,12.0,No Injury,Child Booster Seat Used,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,18:01:00,Going Straight Ahead,39.8375,0.04,0.06000000000000001,-0.1200000000000017,39.3,94.625,0.08,0.24,-1.6,93.0,0.010909090909090677,0.02,29.852222222222224,0.005999999999999517,29.845714285714287,41.111111111111114,0.02,0.0,0.2,40.971428571428575,16.8,15.9,6.057142857142858,7.3999999999999995,2.29413524283737,14.0,1.0
2,Not Deployed,,None,,,Raining,,,2016-12-10,5.0,No Injury,Lap & Shoulder Used,18.0,47.43842467248389,Dark-No Street Lights,-122.26880808386343,12.0,No Injury,Lap & Shoulder Used,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,18:01:00,Going Straight Ahead,39.8375,0.04,0.06000000000000001,-0.1200000000000017,39.3,94.625,0.08,0.24,-1.6,93.0,0.010909090909090677,0.02,29.852222222222224,0.005999999999999517,29.845714285714287,41.111111111111114,0.02,0.0,0.2,40.971428571428575,16.8,15.9,6.057142857142858,7.3999999999999995,2.29413524283737,14.0,1.0
3,Not Deployed,,Inattention,Exceeding Reas. Safe Speed,,Raining,,,2016-12-10,5.0,No Injury,Lap & Shoulder Used,22.0,47.467897982179345,Dark-Street Lights On,-122.21798003163042,12.0,,,,,60.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,22:45:00,Slowing,39.1,0.1,0.1,0.0,38.56666666666667,93.34,0.2,0.2,0.0,91.0,0.0,0.0,29.859999999999996,0.0,30.00333333333333,40.94,0.0,0.0,0.20000000000000284,41.1,12.0,,5.266666666666667,6.0,2.3106650574039014,8.0,2.0
4,Not Deployed,,None,,,Raining,,,2016-12-10,5.0,No Injury,Lap & Shoulder Used,22.0,47.467897982179345,Dark-Street Lights On,-122.21798003163042,12.0,,,,,60.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,22:45:00,Stopped for Traffic,39.1,0.1,0.1,0.0,38.56666666666667,93.34,0.2,0.2,0.0,91.0,0.0,0.0,29.859999999999996,0.0,30.00333333333333,40.94,0.0,0.0,0.20000000000000284,41.1,12.0,,5.266666666666667,6.0,2.3106650574039014,8.0,2.0
5,Not Deployed,,None,,,Raining,,,2016-12-10,5.0,No Injury,Lap & Shoulder Used,22.0,47.467897982179345,Dark-Street Lights On,-122.21798003163042,12.0,,,,,60.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,22:45:00,Stopped for Traffic,39.1,0.1,0.1,0.0,38.56666666666667,93.34,0.2,0.2,0.0,91.0,0.0,0.0,29.859999999999996,0.0,30.00333333333333,40.94,0.0,0.0,0.20000000000000284,41.1,12.0,,5.266666666666667,6.0,2.3106650574039014,8.0,2.0
6,Unknown,,Exceeding Reas. Safe Speed,,,Raining,,,2016-12-03,5.0,Unknown,Unknown,20.0,47.4703549205804,Dark-Street Lights On,-122.33154917277672,12.0,,,,,,Straight & Level,Dry,Concrete,Unknown,20:14:00,Making Left Turn,43.3,0.08,0.05,0.2181818181818174,43.37142857142857,93.89285714285715,0.22000000000000003,0.0,1.2727272727272727,94.5,0.06545454545455182,0.07,30.001428571428566,-0.02000000000000022,29.99285714285714,44.949999999999996,0.0,0.06,-0.26363636363636417,44.857142857142854,22.0,22.0,4.41,5.989999999999999,1.9731988126015962,22.0,3.0
7,Not Deployed,,None,,,Raining,,,2016-12-03,5.0,No Injury,Lap & Shoulder Used,20.0,47.4703549205804,Dark-Street Lights On,-122.33154917277672,12.0,,,,,45.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,20:14:00,Stopped at Signal or Stop Sign,43.3,0.08,0.05,0.2181818181818174,43.37142857142857,93.89285714285715,0.22000000000000003,0.0,1.2727272727272727,94.5,0.06545454545455182,0.07,30.001428571428566,-0.02000000000000022,29.99285714285714,44.949999999999996,0.0,0.06,-0.26363636363636417,44.857142857142854,22.0,22.0,4.41,5.989999999999999,1.9731988126015962,22.0,3.0
8,Not Deployed,,None,,,Raining,,,2016-12-10,5.0,No Injury,Lap & Shoulder Used,16.0,47.46189531600045,Dark-Street Lights On,-122.2629662233342,12.0,No Injury,Child Booster Seat Used,,,60.0,Curve & Grade,Oil,Concrete,Had NOT Been Drinking,16:11:00,Stopped for Traffic,40.199999999999996,0.20000000000000004,0.05000000000000001,0.049999999999999524,40.28333333333334,92.71666666666665,0.85,0.18333333333333335,0.6666666666666666,93.66666666666667,0.03750000000000142,0.07,29.763333333333335,-5.921189464667501e-16,29.765,42.15,0.0,0.03333333333333333,-0.11666666666666714,41.983333333333334,13.0,13.0,4.566666666666666,5.833333333333333,1.7729324984605384,10.0,4.0
9,Not Deployed,,None,,,Raining,,,2016-12-10,5.0,No Injury,Lap & Shoulder Used,16.0,47.46189531600045,Dark-Street Lights On,-122.2629662233342,12.0,No Injury,Child Infant Seat Used,,,60.0,Curve & Grade,Oil,Concrete,Had NOT Been Drinking,16:11:00,Stopped for Traffic,40.199999999999996,0.20000000000000004,0.05000000000000001,0.049999999999999524,40.28333333333334,92.71666666666665,0.85,0.18333333333333335,0.6666666666666666,93.66666666666667,0.03750000000000142,0.07,29.763333333333335,-5.921189464667501e-16,29.765,42.15,0.0,0.03333333333333333,-0.11666666666666714,41.983333333333334,13.0,13.0,4.566666666666666,5.833333333333333,1.7729324984605384,10.0,4.0
