,airbag,alcohol_test_given,contributing_factor_1,contributing_factor_2,contributing_factor_3,current_weather,cyclist_injury,cyclist_present,date,day_of_week,driver_injury,driver_restraint_type,hour,lat,lighting_conditions,lon,month,passenger_injury,passenger_restraint_type,pedestrian_injury,pedestrian_present,posted_speed_limit,roadway_characterization,roadway_surface_condition,roadway_surface_type,sobriety_type,time_of_day,vehicle_action,wx_DewpointF_last_1hr_avg,wx_DewpointF_last_1hr_avg_decrease,wx_DewpointF_last_1hr_avg_increase,wx_DewpointF_last_1hr_change,wx_DewpointF_latest,wx_Humidity_last_1hr_avg,wx_Humidity_last_1hr_avg_decrease,wx_Humidity_last_1hr_avg_increase,wx_Humidity_last_1hr_change,wx_Humidity_latest,wx_PrecipRate_inhr_last_1hr,wx_PrecipRate_inhr_latest_max,wx_PressureIn_last_1hr_avg,wx_PressureIn_last_1hr_change,wx_PressureIn_latest,wx_TemperatureF_last_1hr_avg,wx_TemperatureF_last_1hr_avg_decrease,wx_TemperatureF_last_1hr_avg_increase,wx_TemperatureF_last_1hr_change,wx_TemperatureF_latest,wx_WindSpeedGustMPH_last_1hr_max,wx_WindSpeedGustMPH_latest,wx_WindSpeedMPH_last_1hr_avg,wx_WindSpeedMPH_latest,wx_mean_station_dist_mi,wx_station_count,wx_unique_event_id
0,Not Deployed,,Did Not Grant RW to Vehicle,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,12.0,47.6740631426285,Daylight,-122.20232710880474,5.0,,,,,25.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,12:13:00,Making Left Turn,50.62222222222223,0.4,0.3,0.7999999999999972,50.75000000000001,52.21111111111111,0.38,0.78,-3.4,48.375,0.0,0.0,29.86888888888889,-0.024000000000000198,29.82,69.58888888888889,0.48,0.08,2.8200000000000016,71.91250000000001,9.8,6.0,2.266666666666667,2.4166666666666665,1.952174527222858,14.0,1.0
1,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-01,6.0,Possible Injury,Lap & Shoulder Used,12.0,47.6740631426285,Daylight,-122.20232710880474,5.0,,,,,25.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,12:13:00,Going Straight Ahead,50.62222222222223,0.4,0.3,0.7999999999999972,50.75000000000001,52.21111111111111,0.38,0.78,-3.4,48.375,0.0,0.0,29.86888888888889,-0.024000000000000198,29.82,69.58888888888889,0.48,0.08,2.8200000000000016,71.91250000000001,9.8,6.0,2.266666666666667,2.4166666666666665,1.952174527222858,14.0,1.0
2,Front Airbag Deployed,,Improper Passing,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,17.0,47.53476309448785,Daylight,-122.29592669462946,5.0,,,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,17:13:00,Overtaking and Passing,47.46000000000001,0.3,0.275,0.1374999999999993,47.13,34.981818181818184,0.2625,0.46249999999999997,-1.125,34.0,0.0,0.0,29.881,-0.02375000000000016,29.871,77.03636363636363,0.22500000000000003,0.0125,1.0,77.57272727272726,14.0,10.0,3.983333333333333,3.733333333333333,1.985663112886194,28.0,2.0
3,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,17.0,47.53476309448785,Daylight,-122.29592669462946,5.0,,,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,17:13:00,Going Straight Ahead,47.46000000000001,0.3,0.275,0.1374999999999993,47.13,34.981818181818184,0.2625,0.46249999999999997,-1.125,34.0,0.0,0.0,29.881,-0.02375000000000016,29.871,77.03636363636363,0.22500000000000003,0.0125,1.0,77.57272727272726,14.0,10.0,3.983333333333333,3.733333333333333,1.985663112886194,28.0,2.0
4,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,17.0,47.53476309448785,Daylight,-122.29592669462946,5.0,,,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,17:13:00,Going Straight Ahead,47.46000000000001,0.3,0.275,0.1374999999999993,47.13,34.981818181818184,0.2625,0.46249999999999997,-1.125,34.0,0.0,0.0,29.881,-0.02375000000000016,29.871,77.03636363636363,0.22500000000000003,0.0125,1.0,77.57272727272726,14.0,10.0,3.983333333333333,3.733333333333333,1.985663112886194,28.0,2.0
5,,,,,,Clear or Partly Cloudy,,,2016-05-01,6.0,,,17.0,47.53476309448785,Daylight,-122.29592669462946,5.0,,,,,,Straight & Level,Dry,,,17:13:00,,47.46000000000001,0.3,0.275,0.1374999999999993,47.13,34.981818181818184,0.2625,0.46249999999999997,-1.125,34.0,0.0,0.0,29.881,-0.02375000000000016,29.871,77.03636363636363,0.22500000000000003,0.0125,1.0,77.57272727272726,14.0,10.0,3.983333333333333,3.733333333333333,1.985663112886194,28.0,2.0
6,Front Airbag Deployed,,Inattention,,,Clear or Partly Cloudy,,,2016-05-01,6.0,Evident Injury,Lap & Shoulder Used,7.0,47.43154233162594,Daylight,-122.29541471964758,5.0,,,,,40.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,07:41:00,Going Straight Ahead,46.47777777777778,0.28750000000000003,0.037500000000000006,1.1249999999999991,47.077777777777776,83.75555555555556,0.0125,0.7625000000000001,-3.5,81.88888888888889,0.0,0.0,30.145555555555557,-0.00777777777777781,30.14111111111111,51.269999999999996,0.475,0.0,2.175,52.43333333333333,8.0,8.0,2.2857142857142856,1.6000000000000003,1.672459907627448,15.0,3.0
7,,,,,,Clear or Partly Cloudy,,,2016-05-01,6.0,,,7.0,47.43154233162594,Daylight,-122.29541471964758,5.0,,,,,,Straight & Grade,Wet,,,07:41:00,,46.47777777777778,0.28750000000000003,0.037500000000000006,1.1249999999999991,47.077777777777776,83.75555555555556,0.0125,0.7625000000000001,-3.5,81.88888888888889,0.0,0.0,30.145555555555557,-0.00777777777777781,30.14111111111111,51.269999999999996,0.475,0.0,2.175,52.43333333333333,8.0,8.0,2.2857142857142856,1.6000000000000003,1.672459907627448,15.0,3.0
8,Front Airbag Deployed,Test Given - Results Pending,Under Influence of Alcohol,Inattention,Unknown Driver Distraction,Clear or Partly Cloudy,,,2016-05-01,6.0,Serious Injury,No Restraints Used,1.0,47.578178465821075,Dark-Street Lights On,-122.20970932286603,5.0,,,,,60.0,Straight & Level,Dry,Concrete,HBD - Ability Impaired,01:47:00,Changing Lanes,40.81666666666667,0.11666666666666665,0.13333333333333333,-0.11666666666666714,40.78333333333333,70.6,0.43333333333333335,0.08333333333333333,2.3333333333333335,71.66666666666667,0.0,0.0,30.228333333333335,-0.010000000000000972,30.224999999999998,50.21666666666667,0.0,0.18333333333333332,-1.116666666666666,49.71666666666667,0.0,0.0,0.0,0.0,2.16423047024805,7.0,4.0
9,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,1.0,47.578178465821075,Dark-Street Lights On,-122.20970932286603,5.0,,,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,01:47:00,Stopped in Roadway,40.81666666666667,0.11666666666666665,0.13333333333333333,-0.11666666666666714,40.78333333333333,70.6,0.43333333333333335,0.08333333333333333,2.3333333333333335,71.66666666666667,0.0,0.0,30.228333333333335,-0.010000000000000972,30.224999999999998,50.21666666666667,0.0,0.18333333333333332,-1.116666666666666,49.71666666666667,0.0,0.0,0.0,0.0,2.16423047024805,7.0,4.0
