,0,1,2,3
0,id,neighborhood,city,type
1,KWAVENER2,"Alpine, WA","0.8Mi NNE of Venersborg Store, Venersborg",Davis Vantage Vue
2,KWAMARYS7,Kruse Junction,North Marysville,Davis Vantage Pro 2
3,KWAWALLA2,Foothills of the Blue Mountains,Walla Walla,Davis Vantage Pro2 (Wireless)
4,KWAABERD14,Think of Me Hill,Aberdeen,Davis Vantage Pro2 Plus (Wireless)
5,KWAABERD15,Central Park,Aberdeen,AcuRite Pro Weather Center
6,KWAABERD10,Aberdeen below Hospital,Aberdeen,AcuRite Pro Weather Center
7,KWAABERD7,Aberdeen-Division St,Aberdeen,
8,KWAABERD13,"Sumner &amp; Myrtle, Aberdeen",Aberdeen,RainWise MK-III-LR
9,KWAABERD16,Pacific Ave,Aberdeen,AcuRite Pro Weather Center
10,KWAABERD11,Central Park - Crash's Yard,Aberdeen,Davis Vantage Pro2 (Wireless)
11,KWAADAMS2,Seattle,Adams,Netatmo
12,KWAALLYN3,Twanoh,Allyn,Ambient Weather WS-1001-WiFi (Wireless)
13,KWAALLYN4,Allyn View Estates,Allyn,AcuRite Pro Weather Center
14,KWAALLYN2,Grapeview,Allyn-Grapeview,Ambient Weather WS-1001-WiFi (Wireless)
15,KWAAMBOY5,.3 miles NW of Saddle Dam,Amboy,Davis Vantage Pro2 (Wireless)
16,KWAAMBOY10,Grantham Amboy,Amboy,AcuRite Pro Weather Center
17,KWAAMBOY11,Munch 7,Amboy,Davis Vantage Vue (Wireless)
18,KWAAMESL2,Ames Lake vista,Ames Lake,Davis Vantage Vue (Wireless)
19,KWAANACO1,Ship Harbor,Anacortes,Davis Vantage Vue
20,KWAANACO5,above Lovric's,Anacortes,Davis Vantage Pro2 (Wireless)
21,KWAANACO28,Skyline,Anacortes,AcuRite Pro Weather Center
22,KWAANACO17,,Anacortes,Texas Weather Instruments
23,KWAANACO35,Eddie's house,Anacortes,Ambient Weather WS-1400-IP (Wireless)
24,KWAANACO16,Iron Mountain,Anacortes,Davis Vantage Pro2
25,KWAANACO52,San Juan Hill,Anacortes,Davis Vantage Pro2 (Cabled)
26,KWAANACO23,Heather Weather,Anacortes,Ambient Weather 2080
27,KWAANACO10,SSE Guemes Island,Anacortes,WS2308
28,KWAANACO29,Anacortes-Bartholomew Rd (US),Anacortes,
29,KWAANACO30,Anacortes-202 Ave,Anacortes,
30,KWAANACO40,Cedar Glen Way,Anacortes,Netatmo
31,KWAANACO34,Cedar Springs,Anacortes,AcuRite Pro Weather Center
32,KWAANACO63,Dewey Beach,Anacortes,AcuRite Pro Weather Center
33,KWAANACO18,Nootka Lane,Anacortes,Davis Instruments Vantage Pro2
34,KWAANACO8,South Fidalgo Island,Anacortes,Davis Vantage Pro2
35,KWAANACO53,Near Anacortes Airport,Anacortes,AcuRite Pro Weather Center
36,KWAANACO49,Guemes Channel,Anacortes,AcuRite Pro Weather Center
37,KWAANACO51,B - Clearridge Ferry Views,Anacortes,Ambient Weather WS-1001-WiFi (Wireless)
38,KWAANACO48,"Castilleja Bluff, Anacortes WA",Anacortes,Ambient Weather WS-1400-IP (Wireless)
39,KWAANACO45,Lake Erie,Anacortes,other
40,KWAANACO44,Simlk Bay,Anacortes,AcuRite Pro Weather Center
41,KWAANACO59,Casa Madera,Anacortes,Davis Vantage Pro2 (Wireless)
42,KWAANACO50,SMOA-17,Anacortes,Ambient Weather WS-1001-WiFi (Wireless)
43,KWAANACO46,Cap Sante Marina,Anacortes,Davis Vantage Vue (Wireless)
44,KWAANACO54,Rockridge,Anacortes,Davis Vantage Pro2 Plus (Wireless)
45,KWAANATO4,Hewitt's Campwater/Grande Ronde River,Anatone,AcuRite Pro Weather Center
46,KWAANATO2,Montgomery Ridge Road,Anatone,LaCrosse Weather Pro Center 2800 Series
47,KWAANDER5,11016 country club dr,Anderson Island,AcuRite Pro Weather Center
48,KWAANDER3,104th Street,Anderson Island,Netatmo
49,KWAANDRO2,carlson ws,Andron,LaCrosse
50,KWAARIEL5,Yale1,Ariel,AcuRite Pro Weather Center
51,KWAARIEL2,West Yale Valley,Ariel,Vantage Vue
52,KWAARIEL4,Wapiti Meadows,Ariel,Ambient Weather WS-1001-WiFi (Wireless)
53,KWAARLIN33,Crown Ridge,Arlington,AcuRite Pro Weather Center
54,KWAARLIN28,Sky Blue Neighborhood,Arlington,AcuRite Pro Weather Center
55,KWAARLIN39,Cougar Creek- East Lake KI,Arlington,AcuRite Pro Weather Center
56,KWAARLIN41,Bryant,Arlington,AcuRite Pro Weather Center
57,KWAARLIN24,Weather @ Munday's,Arlington,LaCrosse Weather Pro Center 2800 Series
58,KWAARLIN37,Magnolia Meadows,Arlington,AcuRite Pro Weather Center
59,KWAARLIN20,Boulder Creek,Arlington,LaCrosse Weather Pro Center 2800 Series
60,KWAARLIN18,Cicero,Arlington,
61,KWAARLIN42,Jordan farms,Arlington,Davis Vantage Pro2 (Wireless)
62,KWAARLIN17,"Farmstead Wx, just west of Smokey Point",Arlington,Ambient Weather WS-1400-IP (Wireless)
63,KWAARLIN58,South Fork Stillaguamish,Arlington,La Crosse Technology 330-2315 Professional Weather Station
64,KWAARLIN40,Arlington Heights,Arlington,AcuRite Pro Weather Center
65,KWAARLIN26,83rd Place Northeast,Arlington,Netatmo
66,KWAARLIN31,Wesley Street,Arlington,Netatmo
67,KWAARLIN52,Getchell Centennial,Arlington,AcuRite Pro Weather Center
68,KWAARLIN53,Finn Settlement,Arlington,other
69,KWAASHFO3,Ashford,Ashford,
70,KWAASHFO6,Ashford,Ashford,
71,KWAASHFO2,Alpine Village,Ashford,
72,KWAASHFO8,Paradise Estates,Ashford,
73,KWAAUBUR35,Riverwalk,Auburn,AcuRite Pro Weather Center
74,KWAAUBUR30,Lakeland North,Auburn,Ambient Weather WS-1001-WiFi (Wireless)
75,KWAAUBUR6,Heather Highlands,Auburn,wx200
76,KWAAUBUR17,Lake Tapps,Auburn,Oregon Scientific Professional Weather Center
77,KWAAUBUR41,Camelot NE Federal Way,Auburn,AcuRite Pro Weather Center
78,KWAAUBUR50,Vista Pointe,Auburn,Ambient Weather WS-1001-WiFi (Wireless)
79,KWAAUBUR7,Auburn High School Area,Auburn,Oregon Scientific WMR 968
80,KWAAUBUR38,Dick Scobee School Area 14th NE/N St NE,Auburn,Davis Vantage Vue (Wireless)
81,KWAAUBUR14,Wynaco - WA National,Auburn,Davis Vanage Vue ISS
82,KWAAUBUR29,Lakeland South,Auburn,AcuRite Pro Weather Center
83,KWAAUBUR51,Lake Dolloff,Auburn,AcuRite Pro Weather Center
84,KWAAUBUR32,171st Avenue Southeast,Auburn,Netatmo
85,KWAAUBUR46,Green Valley,Auburn,AcuRite Pro Weather Center
86,KWAAUBUR49,Lakeland North,Auburn,AcuRite Pro Weather Center
87,KWAAUBUR34,Pacific- West Hill,Auburn,Davis Vantage Vue (Wireless)
88,KWAAUBUR24,SoosCreekBotanicalGarden,Auburn,Davis Vantage Vue (Wireless)
89,KWAAUBUR42,Lakeland North,Auburn,AcuRite Pro Weather Center
90,KWAAUBUR36,Morning Crest,Auburn,Ambient Weather WS-1400-IP (Wireless)
91,KWAAUBUR47,North Tapps Estate,Auburn,AcuRite Pro Weather Center
92,KWAAUBUR18,Crestview West,Auburn,Davis Vantage Pro II Plus
93,KWAAUBUR40,Sweet Briar Farm,Auburn,Davis Vantage Pro2 (Cabled)
94,KWAAUBUR43,Thadra Estates,Auburn,Davis Vantage Pro2 (Wireless)
95,KWAAUBUR45,Downtown Auburn,Auburn,AcuRite Pro Weather Center
96,KWAAUBUR27,Downtown Auburn,Auburn,Davis Vantage Pro2 (Cabled)
97,KWAAUBUR22,Trout Lake,Auburn,AcuRite Pro Weather Center
98,KWAAYER2,Pleasant View,Ayer,Vantage Vue
99,KWABAINB26,Fort Ward,Bainbridge Island,AcuRite Pro Weather Center
100,KWABAINB24,Rolling Bay,Bainbridge Island,AcuRite Pro Weather Center
101,KWABAINB17,Skiff Point,Bainbridge Island,Ambient Weather WS-1400-IP (Wireless)
102,KWABAINB16,Seabold,Bainbridge Island,Davis Vantage Pro2 (Cabled)
103,KWABAINB41,Rollingbay,Bainbridge Island,AcuRite Pro Weather Center
104,KWABAINB47,Olympus Beach,Bainbridge Island,Ambient Weather WS-900-IP (Wireless)
105,KWABAINB27,Bainbridge Island,Bainbridge Island,Ambient Weather WS-1001-WiFi (Wireless)
106,KWABAINB13,Perennial Vintners (Bainbridge),Bainbridge Island,Davis Vantage Vue
107,KWABAINB15,port madison,Bainbridge Island,Davis Vantage Pro2 Plus (Wireless)
